상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,상품 요약설명,상품 간략설명,검색어설정,소비자가,공급가,상품가,판매가,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트
P00000MD,Y,Y,53|97|99|103|55|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]오징어 치즈육포 200g 1kg,쫄깃한 바다의 맛,◆ 조리하기 쉬워요! 쫄깃한 바다의 오징어,"간편식,간편조리,건강,고급,만원요리,매콤,모임각,밀키트,바삭한,시간절약,오징어,인생,전체상품,정통,정품,즉석,즉석요리,최씨남매,추천,치즈육포,프",0,5760,7273,8000,만원요리 최씨남매 오징어 치즈육포 200g 1kg - 집에서 즐기는 프리미엄,만원요리 최씨남매,"최씨남매 만원요리 오징어 치즈육포 200g 1kg - 쫄깃한 바다의 맛. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편식,간편조리,건강,고급,만원요리,매콤,모임각,밀키트,바삭한,시간절약,오징어,인생,전체상품,정통,정품,즉석,즉석요리,최씨남매,추천,치즈육포,프",최씨남매 오징어 치즈육포 200g 1kg - 만원요리 프리미엄 상품
P00000MC,Y,Y,53|97|56,N|N|N,N|N|N,[인생]가문어통족 꼬리 300g,전통 방식으로 조리,※ 데우기만 하면 완성! 집에서 즐기는 특별함,"가문어통족,간편식,고급,고소한,꼬리,만원요리,만원요리추천,맛집,모임각,손님접대,시간절약,신선,영양,인생,전체상품,정통,정품,즉석요리,최씨남매",0,2900,3636,4000,최씨남매 가문어통족 꼬리 300g - 만원요리 전문 프리미엄 품질,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 가문어통족 꼬리 300g. 전통 방식으로 조리. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","가문어통족,간편식,고급,고소한,꼬리,만원요리,만원요리추천,맛집,모임각,손님접대,시간절약,신선,영양,인생,전체상품,정통,정품,즉석요리,최씨남매,",만원요리 최씨남매 가문어통족 꼬리 300g 상품 이미지
P00000MB,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]콘치즈 오징어구이 120g 1kg,쫄깃한 바다의 맛,◆ 조리하기 쉬워요! 쫄깃한 바다의 오징어,"1인분,간편식,만원요리,맛있는,맥주안주,모임각,부드러운,손님접대,술안주,술한잔,오징어구이,인기,인생,전체상품,정품,즉석요리,집밥각,최씨남매,콘",0,5880,6818,7500,만원요리 최씨남매 | 콘치즈 오징어구이 120g 1kg 정품 프리미엄,만원요리 최씨남매,만원요리 최씨남매 콘치즈 오징어구이 120g 1kg. 쫄깃한 바다의 맛. 정성스럽게 준비한 프리미엄 상품으로 특별한 한 끼를 완성하세요.,"1인분,간편식,만원요리,맛있는,맥주안주,모임각,부드러운,손님접대,술안주,술한잔,오징어구이,인기,인생,전체상품,정품,즉석요리,집밥각,최씨남매,콘",만원요리 최씨남매 추천 콘치즈 오징어구이 120g 1kg
P00000MA,Y,Y,53|97|99|102|103|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]메가 MEGA 노가리 5미 450g,집에서 즐기는 특별함,※ 간편하게 조리하세요! 프리미엄 품질의 맛,"간편식,고급,노가리,달콤,만원요리,맥주안주,메가,모임각,밀키트,베스트,손님접대,술안주,술한잔,안전,인생,전체상품,정품,집밥,집밥각,쫄깃한,최씨남",18500,11100,13527,14880,메가 MEGA 노가리 5미 450g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,메가 MEGA 노가리 5미 450g | 만원요리 최씨남매 추천. 집에서 즐기는 특별함. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,고급,노가리,달콤,만원요리,맥주안주,메가,모임각,밀키트,베스트,손님접대,술안주,술한잔,안전,인생,전체상품,정품,집밥,집밥각,쫄깃한,최씨남",메가 MEGA 노가리 5미 450g | 만원요리 최씨남매 정품
P00000LZ,Y,Y,53|97|99|102|103|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]명태 두절 손질노가리 300g 1kg,깊은 맛의 프리미엄,◆ 간단 조리로 완성! 고급 레시피의 맛,"간편식,고급,달콤,두절,만원요리,맥주안주,명태,모임각,밀키트,베스트,손님접대,손질노가리,술안주,술한잔,안전,인생,전체상품,정품,집밥,집밥각,쫄깃",9683,5810,7073,7780,최씨남매 만원요리 명태 두절 손질노가리 300g 1kg | 정품 보장 프리미엄 맛,만원요리 최씨남매,명태 두절 손질노가리 300g 1kg | 만원요리 최씨남매 추천. 깊은 맛의 프리미엄. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,고급,달콤,두절,만원요리,맥주안주,명태,모임각,밀키트,베스트,손님접대,손질노가리,술안주,술한잔,안전,인생,전체상품,정품,집밥,집밥각,쫄깃",명태 두절 손질노가리 300g 1kg | 만원요리 최씨남매 정품
P00000LY,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]반건조 편노가리 소 300g 1kg,신선한 재료로 만든,※ 데우기만 하면 완성! 집에서 즐기는 특별함,"간편조리,건강,만원요리,매콤,맥주안주,모임각,밀키트,바삭한,반건조,술안주,술한잔,시간절약,인생,전체상품,정통,정품,즉석,집밥,집밥각,최씨남매,추",11333,6800,8255,9080,만원요리 최씨남매 반건조 편노가리 소 300g 1kg - 집에서 즐기는 프리미엄,만원요리 최씨남매,"최씨남매 만원요리 반건조 편노가리 소 300g 1kg - 신선한 재료로 만든. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편조리,건강,만원요리,매콤,맥주안주,모임각,밀키트,바삭한,반건조,술안주,술한잔,시간절약,인생,전체상품,정통,정품,즉석,집밥,집밥각,최씨남매,추",최씨남매 반건조 편노가리 소 300g 1kg - 만원요리 프리미엄 상품
P00000LX,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,"[인생]참명태 노가리(중,소) 200g 1kg",전통 방식으로 조리,◆ 조리하기 쉬워요! 정성스럽게 만든 요리,"간편조리,고급,고소한,노가리,만원요리,만원요리추천,맛집,밀키트,시간절약,신선,영양,인생,전체상품,정통,정품,집밥,집밥각,참명태,최씨남매,파티각",9933,5960,7255,7980,"최씨남매 참명태 노가리(중,소) 200g 1kg - 만원요리 전문 프리미엄 품질",만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 참명태 노가리(중,소) 200g 1kg. 전통 방식으로 조리. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","간편조리,고급,고소한,노가리,만원요리,만원요리추천,맛집,밀키트,시간절약,신선,영양,인생,전체상품,정통,정품,집밥,집밥각,참명태,최씨남매,파티각,","만원요리 최씨남매 참명태 노가리(중,소) 200g 1kg 상품 이미지"
P00000LW,Y,Y,53|97|99|103|56|109|58,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]두절 노가리 소 200g 1kg,고급 레시피의 완성,※ 간편하게 조리하세요! 프리미엄 품질의 맛,"1인분,간편식,간편조리,고급,노가리,두절,만원요리,맛있는,밀키트,부드러운,손님접대,시간절약,인기,인생,전체상품,정통,정품,즉석요리,집밥각,최씨남",9266,5560,6800,7480,만원요리 최씨남매 | 두절 노가리 소 200g 1kg 정품 프리미엄,만원요리 최씨남매,만원요리 최씨남매 두절 노가리 소 200g 1kg. 고급 레시피의 완성. 정성스럽게 준비한 프리미엄 상품으로 특별한 한 끼를 완성하세요.,"1인분,간편식,간편조리,고급,노가리,두절,만원요리,맛있는,밀키트,부드러운,손님접대,시간절약,인기,인생,전체상품,정통,정품,즉석요리,집밥각,최씨남",만원요리 최씨남매 추천 두절 노가리 소 200g 1kg
P00000LV,N,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]빠삭 꾼 먹태 40g 1개입,집에서 즐기는 특별함,※ 고소하고 진한! 부드럽고 담백한 맛,"간편식,개입,고급,달콤,만원요리,먹태,모임각,밀키트,베스트,빠삭,손님접대,술한잔,안전,인생,전체상품,정통,정품,즉석요리,쫄깃한,최씨남매,파티각",5250,3150,3891,4280,빠삭 꾼 먹태 40g 1개입 - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,빠삭 꾼 먹태 40g 1개입 | 만원요리 최씨남매 추천. 집에서 즐기는 특별함. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,개입,고급,달콤,만원요리,먹태,모임각,밀키트,베스트,빠삭,손님접대,술한잔,안전,인생,전체상품,정통,정품,즉석요리,쫄깃한,최씨남매,파티각,",빠삭 꾼 먹태 40g 1개입 | 만원요리 최씨남매 정품
P00000LU,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]명태알포 200g 1kg,정성스럽게 만든 요리,◆ 신선한 재료로! 정통 스타일의 요리,"간편식,간편조리,건강,만원요리,매콤,맥주안주,명태알포,모임각,바삭한,손님접대,술안주,술한잔,인생,전체상품,정통,정품,즉석,즉석요리,최씨남매,추",8500,5100,6255,6880,최씨남매 만원요리 명태알포 200g 1kg | 정품 보장 프리미엄 맛,만원요리 최씨남매,"최씨남매 만원요리 명태알포 200g 1kg - 정성스럽게 만든 요리. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편식,간편조리,건강,만원요리,매콤,맥주안주,명태알포,모임각,바삭한,손님접대,술안주,술한잔,인생,전체상품,정통,정품,즉석,즉석요리,최씨남매,추",최씨남매 명태알포 200g 1kg - 만원요리 프리미엄 상품
P00000LT,Y,Y,53|97|99|54|103|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]구운순살명태포 200g 1kg,프리미엄 품질의 맛,※ 전통 방식으로! 깊은 맛의 프리미엄,"고소한,구운순살명태포,만원요리,만원요리추천,맛집,맥주안주,모임각,손님접대,술안주,술한잔,시간절약,신선,영양,인생,전체상품,정품,집밥,집밥각",9933,5960,7255,7980,만원요리 최씨남매 구운순살명태포 200g 1kg - 집에서 즐기는 프리미엄,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 구운순살명태포 200g 1kg. 프리미엄 품질의 맛. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","고소한,구운순살명태포,만원요리,만원요리추천,맛집,맥주안주,모임각,손님접대,술안주,술한잔,시간절약,신선,영양,인생,전체상품,정품,집밥,집밥각,",만원요리 최씨남매 구운순살명태포 200g 1kg 상품 이미지
P00000LS,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]구운양태채 200g 1kg,부드럽고 담백한 맛,◆ 간단 조리로 완성! 고급 레시피의 맛,"1인분,간편조리,구운양태채,만원요리,맛있는,맥주안주,밀키트,부드러운,손님접대,술안주,술한잔,시간절약,인기,인생,전체상품,정품,집밥,집밥각,최씨",7166,4300,5255,5780,최씨남매 구운양태채 200g 1kg - 만원요리 전문 프리미엄 품질,만원요리 최씨남매,만원요리 최씨남매 구운양태채 200g 1kg. 부드럽고 담백한 맛. 정성스럽게 준비한 프리미엄 상품으로 특별한 한 끼를 완성하세요.,"1인분,간편조리,구운양태채,만원요리,맛있는,맥주안주,밀키트,부드러운,손님접대,술안주,술한잔,시간절약,인기,인생,전체상품,정품,집밥,집밥각,최씨",만원요리 최씨남매 추천 구운양태채 200g 1kg
P00000LR,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]구운아귀스틱 100g 1kg,고소하고 진한 맛,※ 데우기만 하면 완성! 집에서 즐기는 특별함,"간편식,간편조리,고급,구운아귀스틱,달콤,만원요리,밀키트,베스트,술한잔,시간절약,안전,인생,전체상품,정통,정품,집밥,집밥각,쫄깃한,최씨남매,프리",6133,3680,4527,4980,만원요리 최씨남매 | 구운아귀스틱 100g 1kg 정품 프리미엄,만원요리 최씨남매,구운아귀스틱 100g 1kg | 만원요리 최씨남매 추천. 고소하고 진한 맛. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,간편조리,고급,구운아귀스틱,달콤,만원요리,밀키트,베스트,술한잔,시간절약,안전,인생,전체상품,정통,정품,집밥,집밥각,쫄깃한,최씨남매,프리",구운아귀스틱 100g 1kg | 만원요리 최씨남매 정품
P00000LQ,Y,Y,53|97|98|99|103|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]쥐포구이채 200g 1kg,정통 스타일의 요리,◆ 조리하기 쉬워요! 정성스럽게 만든 요리,"간편식,간편조리,건강,고급,만원요리,매콤,모임각,밀키트,바삭한,시간절약,인생,전체상품,정통,정품,쥐포구이채,즉석,즉석요리,최씨남매,추천,프리미",7166,4300,5255,5780,쥐포구이채 200g 1kg - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"최씨남매 만원요리 쥐포구이채 200g 1kg - 정통 스타일의 요리. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편식,간편조리,건강,고급,만원요리,매콤,모임각,밀키트,바삭한,시간절약,인생,전체상품,정통,정품,쥐포구이채,즉석,즉석요리,최씨남매,추천,프리미",최씨남매 쥐포구이채 200g 1kg - 만원요리 프리미엄 상품
P00000LP,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]통구운아귀포 200g 1kg,깊은 맛의 프리미엄,※ 간편하게 조리하세요! 프리미엄 품질의 맛,"간편식,고급,고소한,만원요리,만원요리추천,맛집,모임각,손님접대,시간절약,신선,영양,인생,전체상품,정통,정품,즉석요리,최씨남매,통구운아귀포,파",10083,6050,7345,8080,최씨남매 만원요리 통구운아귀포 200g 1kg | 정품 보장 프리미엄 맛,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 통구운아귀포 200g 1kg. 깊은 맛의 프리미엄. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","간편식,고급,고소한,만원요리,만원요리추천,맛집,모임각,손님접대,시간절약,신선,영양,인생,전체상품,정통,정품,즉석요리,최씨남매,통구운아귀포,파",만원요리 최씨남매 통구운아귀포 200g 1kg 상품 이미지
P00000LO,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]아귀꼬리포 200g 1kg,신선한 재료로 만든,※ 고소하고 진한! 부드럽고 담백한 맛,"1인분,간편식,만원요리,맛있는,맥주안주,모임각,부드러운,손님접대,술안주,술한잔,아귀꼬리포,인기,인생,전체상품,정품,즉석요리,집밥각,최씨남매,파",10333,6200,7527,8280,만원요리 최씨남매 아귀꼬리포 200g 1kg - 집에서 즐기는 프리미엄,만원요리 최씨남매,만원요리 최씨남매 아귀꼬리포 200g 1kg. 신선한 재료로 만든. 정성스럽게 준비한 프리미엄 상품으로 특별한 한 끼를 완성하세요.,"1인분,간편식,만원요리,맛있는,맥주안주,모임각,부드러운,손님접대,술안주,술한잔,아귀꼬리포,인기,인생,전체상품,정품,즉석요리,집밥각,최씨남매,파",만원요리 최씨남매 추천 아귀꼬리포 200g 1kg
P00000LN,Y,Y,53|97|99|103|56|109|57,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]아귀통포 200g 1kg,전통 방식으로 조리,◆ 신선한 재료로! 정통 스타일의 요리,"간편식,고급,달콤,만원요리,맥주안주,모임각,밀키트,베스트,손님접대,술안주,술한잔,아귀통포,안전,인생,전체상품,정품,집밥,집밥각,쫄깃한,최씨남매",9500,5700,6982,7680,최씨남매 아귀통포 200g 1kg - 만원요리 전문 프리미엄 품질,만원요리 최씨남매,아귀통포 200g 1kg | 만원요리 최씨남매 추천. 전통 방식으로 조리. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,고급,달콤,만원요리,맥주안주,모임각,밀키트,베스트,손님접대,술안주,술한잔,아귀통포,안전,인생,전체상품,정품,집밥,집밥각,쫄깃한,최씨남매,",아귀통포 200g 1kg | 만원요리 최씨남매 정품
P00000LM,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]베트남 두툼 참쥐포 200g 1kg,고급 레시피의 완성,※ 전통 방식으로! 깊은 맛의 프리미엄,"간편조리,건강,두툼,만원요리,매콤,맥주안주,모임각,밀키트,바삭한,베트남,술안주,술한잔,시간절약,인생,전체상품,정통,정품,즉석,집밥,집밥각,참쥐포",8100,4860,5891,6480,만원요리 최씨남매 | 베트남 두툼 참쥐포 200g 1kg 정품 프리미엄,만원요리 최씨남매,"최씨남매 만원요리 베트남 두툼 참쥐포 200g 1kg - 고급 레시피의 완성. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편조리,건강,두툼,만원요리,매콤,맥주안주,모임각,밀키트,바삭한,베트남,술안주,술한잔,시간절약,인생,전체상품,정통,정품,즉석,집밥,집밥각,참쥐포",최씨남매 베트남 두툼 참쥐포 200g 1kg - 만원요리 프리미엄 상품
